ULB Name,Public Toilets,Community Toilets,She Toilets,ODF Declared Wards,ODF Non Declared Wards,Compost Yard Location & Extent (Acrs),Dry Resourse Collection Center (Yes/No),% of Door to Door Collection,Tractors,Autos,Tricycles,Pushcarts,Regular Workers,Out Sourced Workers,Government Hospitals,Private Hospitals,Urban Health Centres,Garbage generation/day (Mts),Garbage lifted/day (Mts)
Adilabad,8,,,36,0,36.2,YES,100,12,18,5,30,52,200,1,13,4,66,64
Andol-Jogipet,,,,10,10,3.27,YES,89,1,0,12,3,11,37,1,5,0,4.7,3.9
Armoor,4,,,23,0,11.09,YES,100,5,10,0,0,17,67,1,25,0,32,30
Atchampet,,,,20,0,0,NO,85,9,0,5,0,2,74,2,8,0,14,14
Badangpet,,,,20,0,0,YES,100,4,30,15,0,0,168,1,3,0,28,28
Badepally,3,,1,20,0,0,,96.5,0,0,0,0,23,120,1,5,0,14,13
Bellampalle,,,,34,0,10,NO,81,20,8,0,0,38,60,1,10,1,32,28
Bhainsa,3,,2,23,0,5,YES,96,4,8,0,0,32,69,1,40,1,24,24
Bhongir,,,,30,0,5,YES,100,6,6,4,0,60,130,1,22,0,32,32
Bhupalapally,5,,,20,0,0,NO,45,4,0,0,0,0,68,1,10,0,12,10
Bodhan,,,,35,0,22,NO,95,5,5,0,20,28,138,1,25,2,41.6,41.6
Boduppal,4,,2,20,0,4,YES,100,6,46,10,0,1,177,0,5,2,65,65
Devarakonda,,,,20,0,0,YES,82,2,0,8,0,6,63,0,0,0,6,6
Dubbaka,,,,20,0,7.02,NO,88,2,0,14,0,4,56,1,5,0,4.25,4.25
Gadwal,0,,,33,0,0,,68,4,4,6,0,36,102,2,12,0,7.5,7.5
Gajwel,1,,,20,0,5,YES,85,4,2,18,0,4,92,2,22,0,12,12
Husnabad,,,,20,0,5.06,NO,65,3,0,5,2,1,54,1,4,1,12,11
Huzurabad,,0,,20,0,5,NO,92,5,0,0,15,11,82,1,8,0,20,20
Huzurnagar,,,,20,0,0,YES,98,5,0,5,0,0,0,1,17,0,0,0
Ibrahimpatnam,,,,20,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Ieeja,,,,0,20,0,YES,85,0,0,9,0,4,23,1,9,0,5,5
Jagtial,,,,38,0,5,YES,100,8,17,12,0,55,215,1,54,3,50,48
Jammikunta,,,,13,7,0,YES,80,3,0,16,6,17,64,1,12,0,24,22
Jangoan,,,,23,5,0,NO,90,6,3,16,0,20,150,1,22,0,28,27
Jelpally,2,2,,20,0,0,,70,3,6,0,0,0,83,0,0,0,12,8
Jillelguda,,,2,20,0,0.1,NO,100,10,3,9,3,0,41,0,5,1,14,14
Kagaznagar,,,,1,27,5,NO,83.08,14,10,8,0,27,105,3,8,0,32,32
Kalwakurthy,,7,1,20,0,0,YES,96,2,5,0,0,6,69,1,8,0,8,7
Kamareddy,,,,0,33,0,YES,86,4,9,0,0,0,155,0,0,0,42,38
Karimnagar,,,,48,2,7.5,YES,100,32,8,150,0,120,849,1,92,3,150,146
Khammam,8,1,,50,0,38,YES,85,160,0,0,0,76,580,1,110,3,209,185
Kodada,,,,30,0,6.13,YES,0,0,0,0,0,0,0,0,0,0,0,0
Kollapur,2,,,20,0,5.03,NO,89,3,3,1,1,15,25,1,7,0,8,6
Korutla,2,,1,31,0,0,YES,0,9,9,0,0,18,145,1,16,1,34,32
Kothagudem,,0,,32,1,0,,85,0,0,0,0,36,0,1,26,3,52,48
Madhira,,,,20,0,0,NO,80,0,0,0,0,0,0,0,0,0,0,0
Mahabubabad,,,,11,17,0,,0,0,0,0,0,0,0,0,0,0,0,0
Mahabubnagar,,,,41,0,25,YES,100,19,7,48,0,140,337,1,62,5,74,74
Mancherial,3,,,32,0,0,NO,85,28,12,6,0,68,273,1,123,1,50,46
Mandamarri,,,,24,0,19.11,NO,40,4,1,0,3,6,43,1,5,1,23.5,20.08
Manuguru,1,,,20,3,7,YES,85,4,5,0,11,1,45,1,12,1,18.61,18.61
Medak,,2,,27,0,7.1,YES,98,8,0,0,0,44,52,1,25,1,29,27
Medchal,1,,,20,0,0,NO,85,3,0,22,0,4,98,2,12,0,25,25
Meerpet,,1,1,20,0,0,YES,100,3,8,8,10,0,90,1,10,0,13.5,13.5
Metpally,,,,24,0,10,YES,100,5,8,0,0,14,92,1,18,1,24,23
Miryalaguda,3,,1,36,0,0,,0,0,0,0,0,33,267,0,0,0,0,0
Nagarkurnool,,,,20,0,0,NO,75,3,0,14,0,7,66,1,6,1,8,6
Nalgonda,9,,,15,25,0,,0,0,0,0,0,0,0,0,0,0,0,0
Narasmpet,1,1,,20,0,0,NO,0,4,1,0,16,13,83,1,14,0,18.5,18.5
Narayanpet,,,,23,0,8.39,NO,80,4,0,10,0,41,67,1,8,2,0,12
Nirmal,2,,,1,35,13.22,YES,95,7,19,0,0,32,177,2,22,2,60,58
Nizamabad,16,,,50,0,55,YES,78,15,30,15,25,225,381,0,0,7,188,0
Palwancha,4,,,13,11,0,,0,0,0,0,0,0,0,0,0,0,0,0
Parakala,,,,20,0,0,NO,85,3,0,0,17,8,54,1,25,0,7.5,0
Pedda Amberpet,,1,,20,0,0,NO,95,3,3,5,0,0,76,0,0,1,12.5,11.5
Peddapalli,2,,,20,0,0,NO,95,4,0,22,18,14,85,1,14,0,18,17
Peerzadiguda,1,1,1,20,0,10,YES,100,3,31,15,0,0,126,0,10,1,40,40
Ramagundam,,3,,50,0,2.5,YES,66.6,14,9,96,4,54,364,7,64,5,115,108
Sadasivpet,1,0,,23,0,7.5,NO,95,2,6,0,0,27,74,1,6,0,21,19
Sangareddy,,,,31,0,5.8,NO,81,15,1,0,0,44,135,3,27,2,42,39
Satupally,,,,20,0,0,YES,95,5,3,14,0,7,78,1,20,0,0,0
Shadnagar,,,,23,0,0,YES,100,6,4,0,18,7,115,1,15,1,22,22
Siddipet,2,,1,34,0,11,YES,100,49,8,0,0,55,191,2,47,2,56.72,56.72
Sircilla,6,,,33,0,16.25,YES,100,18,6,0,0,38,175,1,10,0,37,35
Suryapet,5,,,34,0,28.23,YES,100,16,0,0,10,62,213,1,85,3,68,68
Tandur,2,1,,15,16,0,,0,0,0,0,0,0,0,0,0,0,0,0
Vemulavada,1,,,20,0,0,,80,0,0,0,0,0,0,0,0,0,0,0
Vikarabad,3,,,28,0,10.01,YES,95,3,11,0,0,23,105,3,17,0,25,25
Wanaparthy,,,,13,13,0,NO,84,11,0,0,2,17,110,1,8,2,32,32
Warangal,1,,,0,58,0,,0,0,0,0,0,0,0,0,0,0,0,0
Yellandu,,,,22,2,5,NO,89,4,2,8,24,34,56,1,5,0,32,30
Zaheerabad,,,,24,0,5,NO,95,3,4,15,0,34,99,1,13,0,32,32